created_at,sensor id,agv id,route id,ultrasonic_cm,distance to obstacle (cms),pir_detected,pir status,ir_detected,ir status,proximity alert (yes/no),collision warning (yes/no),robot position x,robot position y,speed (cm/sec),collision_risk_class,high_traffic_zone,obstacle_present,path_efficiency_score,navigation_action
2025-06-01 00:18:54,SENSOR_3,AGV_4,ROUTE_1,37.47,37.74,0,not detected,0,off,yes,no,15.56,35.86,37.84,medium,no,no,75.27,slow
2025-06-01 00:20:10,SENSOR_1,AGV_1,ROUTE_3,24.62074536,70.11,1,detected,0,off,yes,yes,28.72,0.34,34.61,high,no,yes,90.76,stop
2025-06-01 00:21:25,SENSOR_3,AGV_2,ROUTE_3,37.6,26.77,1,detected,0,off,yes,no,22.7,99.4,31.05,medium,no,yes,80.61,slow
2025-06-01 00:22:41,SENSOR_3,AGV_5,ROUTE_3,39.38,44.02,0,not detected,1,on,yes,no,53.43,63.32,33.43,medium,no,yes,79.47,slow
2025-06-01 00:23:56,SENSOR_3,AGV_2,ROUTE_1,52.45,45.37,0,not detected,0,off,no,no,67.41,9.46,34.18,low,no,no,100,turn
2025-06-01 00:25:12,SENSOR_2,AGV_2,ROUTE_1,145.19,83.49,0,not detected,0,off,no,no,50.36,68.72,30.37,low,yes,yes,79.62,slow
2025-06-01 00:26:28,SENSOR_1,AGV_5,ROUTE_2,158.87,60.44,0,not detected,0,off,no,no,8.37,7.35,34.15,low,yes,no,86.6,stop
2025-06-01 00:27:43,SENSOR_2,AGV_5,ROUTE_1,61.20444131,31.16,1,detected,0,off,no,no,20.31,84.3,25.88,low,no,no,71.28,stop
2025-06-01 00:28:59,SENSOR_2,AGV_1,ROUTE_3,117.12,37.97,0,not detected,0,off,no,no,36.15,74.38,25.44,low,no,no,85.83,stop
2025-06-01 00:30:14,SENSOR_3,AGV_5,ROUTE_2,68.91,64.47,0,not detected,0,off,no,no,64.39,71.32,30.4,low,no,no,75.56,turn
2025-06-01 00:31:30,SENSOR_2,AGV_1,ROUTE_3,32.55597939,59.52,1,detected,0,off,yes,no,8.66,57.59,32.24,medium,no,no,80.18,slow
2025-06-01 00:32:46,SENSOR_2,AGV_2,ROUTE_1,71.46,36.9,0,not detected,0,off,no,no,39.62,13.67,29.41,low,no,no,84.21,stop
2025-06-01 00:34:01,SENSOR_1,AGV_2,ROUTE_2,166.84,94.1,1,detected,0,off,no,no,20.69,90.11,26.55,low,yes,no,71.07,slow
2025-06-01 00:35:17,SENSOR_1,AGV_5,ROUTE_1,151.6,68.29,1,detected,0,off,no,no,66.91,67.69,23.1,low,no,no,78.46,turn
2025-06-01 00:36:32,SENSOR_2,AGV_1,ROUTE_1,143.81,59.46,0,not detected,1,on,no,no,58.1,32.72,29.45,low,no,no,93.08,slow
2025-06-01 00:37:48,SENSOR_3,AGV_5,ROUTE_2,149.21,62.28,0,not detected,0,off,no,no,80.58,3.06,30.3,low,no,no,95.92,turn
2025-06-01 00:39:04,SENSOR_3,AGV_1,ROUTE_2,21.57,15.33,0,not detected,0,off,yes,yes,36.29,76.35,28.51,high,yes,no,75.66,stop
2025-06-01 00:40:19,SENSOR_2,AGV_3,ROUTE_3,73.1946875,96.55,1,detected,0,off,no,no,68.79,35.6,28.2,low,no,no,70.04,stop
2025-06-01 00:41:35,SENSOR_2,AGV_4,ROUTE_3,79.39,70.23,0,not detected,1,on,no,no,48.54,41.47,28.32,low,no,no,88.87,turn
2025-06-01 00:42:50,SENSOR_1,AGV_4,ROUTE_1,23.84800031,43.08,1,detected,0,off,yes,yes,87.37,2.37,41.02,high,no,no,95.92,stop
2025-06-01 00:44:06,SENSOR_2,AGV_4,ROUTE_2,129.16,69.11,0,not detected,0,off,no,no,99.22,58.65,32.62,low,no,no,88.37,turn
2025-06-01 00:45:22,SENSOR_2,AGV_5,ROUTE_2,32.91,33.78,0,not detected,0,off,yes,no,98.69,26.17,33.03,medium,no,no,95.72,slow
2025-06-01 00:46:37,SENSOR_3,AGV_2,ROUTE_3,125.43,57.13,0,not detected,0,off,no,no,44.82,27.24,40.4,low,no,no,86.63,slow
2025-06-01 00:47:53,SENSOR_1,AGV_1,ROUTE_2,81.72,45.89,0,not detected,1,on,no,no,50.09,4.32,27.64,low,no,no,78.1,turn
2025-06-01 00:49:08,SENSOR_2,AGV_2,ROUTE_2,107.72,31.38,0,not detected,0,off,no,no,61.89,36.04,30.18,low,yes,no,87.98,turn
2025-06-01 00:50:24,SENSOR_3,AGV_5,ROUTE_1,104.32,89.47,0,not detected,1,on,no,no,4.1,87.62,37.69,low,no,no,94.28,slow
2025-06-01 00:51:40,SENSOR_3,AGV_3,ROUTE_3,37.92043932,44.68,1,detected,0,off,yes,no,36.74,14.85,28.83,medium,yes,no,91.1,slow
2025-06-01 00:52:55,SENSOR_3,AGV_1,ROUTE_2,155.66,70.96,1,detected,1,on,no,no,8.92,9.07,27.86,low,no,yes,81.09,stop
2025-06-01 00:54:11,SENSOR_3,AGV_5,ROUTE_3,39.38,44.02,0,not detected,1,on,yes,no,53.43,63.32,33.43,medium,no,yes,79.47,slow
2025-06-01 00:55:26,SENSOR_3,AGV_5,ROUTE_1,37.64469763,29.48,1,detected,0,off,yes,no,46.16,87.76,32.51,medium,no,no,80.75,slow
2025-06-01 00:56:42,SENSOR_2,AGV_1,ROUTE_1,143.81,59.46,0,not detected,1,on,no,no,58.1,32.72,29.45,low,no,no,93.08,slow
2025-06-01 00:57:58,SENSOR_1,AGV_5,ROUTE_3,62.91,60.8,1,detected,1,on,no,no,51.65,77.67,33.93,low,no,yes,79.69,turn
2025-06-01 00:59:13,SENSOR_1,AGV_5,ROUTE_2,158.87,60.44,0,not detected,0,off,no,no,8.37,7.35,34.15,low,yes,no,86.6,stop
2025-06-01 01:00:29,SENSOR_2,AGV_1,ROUTE_1,38.02,14.42,0,not detected,0,off,yes,no,63.45,67.78,34.91,medium,no,no,72.63,slow
2025-06-01 01:01:44,SENSOR_3,AGV_3,ROUTE_3,81.74,48.54,0,not detected,0,off,no,no,6.5,10,30.1,low,no,no,84.53,stop
2025-06-01 01:03:00,SENSOR_3,AGV_3,ROUTE_2,97.96,42.5,0,not detected,0,off,no,no,57.86,70.86,27.46,low,no,yes,100,slow
2025-06-01 01:04:16,SENSOR_2,AGV_1,ROUTE_1,38.02,14.42,0,not detected,0,off,yes,no,63.45,67.78,34.91,medium,no,no,72.63,slow
2025-06-01 01:05:31,SENSOR_2,AGV_3,ROUTE_2,109.6787284,43.86,1,detected,0,off,no,no,25.07,33.14,26.01,low,no,no,82.87,slow
2025-06-01 01:06:47,SENSOR_3,AGV_3,ROUTE_3,97.63,78.62,0,not detected,1,on,no,no,77.35,11.47,29.9,low,no,no,79.59,stop
2025-06-01 01:08:02,SENSOR_1,AGV_5,ROUTE_1,116.85,50.95,0,not detected,1,on,no,no,71.83,87.65,31.21,low,no,yes,74.32,turn
2025-06-01 01:09:18,SENSOR_3,AGV_2,ROUTE_1,118.32,48.13,0,not detected,0,off,no,no,78.49,26.09,21.25,low,no,no,77.5,stop
2025-06-01 01:10:34,SENSOR_2,AGV_3,ROUTE_3,172.82,79.59,0,not detected,0,off,no,no,17.53,91.38,25.13,low,no,no,73.05,turn
2025-06-01 01:11:49,SENSOR_3,AGV_5,ROUTE_3,124.82,42.26,1,detected,1,on,no,no,60.96,48.15,34.71,low,no,no,88.47,stop
2025-06-01 01:13:05,SENSOR_3,AGV_1,ROUTE_2,29.05186733,69.57,1,detected,0,off,yes,yes,41.99,75.33,31.98,high,no,no,90.21,stop
2025-06-01 01:14:20,SENSOR_3,AGV_2,ROUTE_3,76.95,65.43,0,not detected,0,off,no,no,28.06,40.08,30.03,low,yes,no,87.68,turn
2025-06-01 01:15:36,SENSOR_1,AGV_3,ROUTE_3,,42.52,0,not detected,0,off,no,no,81.98,47.55,33.6,low,no,yes,88.89,stop
2025-06-01 01:16:52,SENSOR_2,AGV_3,ROUTE_2,104.66,67.96,0,not detected,0,off,no,no,42.88,38.21,32.47,low,yes,no,81.54,turn
2025-06-01 01:18:07,SENSOR_2,AGV_2,ROUTE_2,84.85,56.37,0,not detected,0,off,no,no,38.4,74.81,32.33,low,yes,yes,84.82,turn
2025-06-01 01:19:23,SENSOR_2,AGV_2,ROUTE_1,145.19,83.49,0,not detected,0,off,no,no,50.36,68.72,30.37,low,yes,yes,79.62,slow
2025-06-01 01:20:38,SENSOR_3,AGV_2,ROUTE_3,125.43,57.13,0,not detected,0,off,no,no,44.82,27.24,40.4,low,no,no,86.63,slow
2025-06-01 01:21:54,SENSOR_2,AGV_5,ROUTE_3,28.42502331,75.78,1,detected,0,off,yes,yes,70.65,89.7,24.26,high,no,no,80.63,stop
2025-06-01 01:23:10,SENSOR_1,AGV_5,ROUTE_2,75.46,52.33,0,not detected,1,on,no,no,32.99,21.07,33.1,low,no,no,78.57,stop
2025-06-01 01:24:25,SENSOR_2,AGV_4,ROUTE_1,28.89,17.73,1,detected,1,on,yes,yes,59.49,2.15,35.19,high,no,yes,69.9,stop
2025-06-01 01:25:41,SENSOR_2,AGV_1,ROUTE_2,62.65,57.38,0,not detected,0,off,no,no,18.25,52.6,34.26,low,no,no,95.06,turn
2025-06-01 01:26:56,SENSOR_3,AGV_4,ROUTE_2,128.35,73.19,0,not detected,0,off,no,no,81.25,96.88,22.88,low,no,yes,74.08,slow
2025-06-01 01:28:12,SENSOR_2,AGV_3,ROUTE_2,109.6787284,43.86,1,detected,0,off,no,no,25.07,33.14,26.01,low,no,no,82.87,slow
2025-06-01 01:29:28,SENSOR_2,AGV_1,ROUTE_1,167.28,70.09,0,not detected,0,off,no,no,40.27,48.45,22.64,low,no,no,95.82,turn
2025-06-01 01:30:43,SENSOR_3,AGV_4,ROUTE_1,37.12,33.91,0,not detected,1,on,yes,no,96.21,66.22,33.81,medium,no,no,71.72,slow
2025-06-01 01:31:59,SENSOR_3,AGV_4,ROUTE_1,37.12,33.91,0,not detected,1,on,yes,no,96.21,66.22,33.81,medium,no,no,71.72,slow
2025-06-01 01:33:14,SENSOR_3,AGV_3,ROUTE_2,19.77893385,67.89,1,detected,0,off,yes,yes,60.56,60.56,27.15,high,no,no,80.69,stop
2025-06-01 01:34:30,SENSOR_3,AGV_5,ROUTE_3,147.4,67.64,0,not detected,1,on,no,no,3.84,83.05,25.77,low,no,no,95.2,turn
2025-06-01 01:35:46,SENSOR_2,AGV_1,ROUTE_1,82.84,65.1,0,not detected,0,off,no,no,26.53,76.69,29.74,low,no,no,69.35,turn
2025-06-01 01:37:01,SENSOR_2,AGV_1,ROUTE_3,117.12,37.97,0,not detected,0,off,no,no,36.15,74.38,25.44,low,no,no,85.83,stop
2025-06-01 01:38:17,SENSOR_1,AGV_4,ROUTE_1,129.62,61.99,1,detected,1,on,no,no,23.32,13.84,28.26,low,no,no,95.18,turn
2025-06-01 01:39:32,SENSOR_2,AGV_2,ROUTE_1,145.19,83.49,0,not detected,0,off,no,no,50.36,68.72,30.37,low,yes,yes,79.62,slow
2025-06-01 01:40:48,SENSOR_1,AGV_3,ROUTE_2,144.94,78.55,1,detected,1,on,no,no,76.29,16.63,31.8,low,no,no,96.61,stop
2025-06-01 01:42:04,SENSOR_3,AGV_5,ROUTE_1,36.06,41.48,0,not detected,1,on,yes,no,70.8,70.13,31.99,medium,yes,yes,96.89,slow
2025-06-01 01:43:19,SENSOR_3,AGV_4,ROUTE_1,62.07,22.29,0,not detected,0,off,no,no,80.61,30.02,41.91,low,yes,no,76.39,turn
2025-06-01 01:44:35,SENSOR_3,AGV_2,ROUTE_3,37.6,26.77,1,detected,0,off,yes,no,22.7,99.4,31.05,medium,no,yes,80.61,slow
2025-06-01 01:45:50,SENSOR_2,AGV_4,ROUTE_1,113.02,47.76,0,not detected,1,on,no,no,29.75,53.69,35.67,low,no,no,74.44,turn
2025-06-01 01:47:06,SENSOR_1,AGV_3,ROUTE_2,144.94,78.55,1,detected,1,on,no,no,76.29,16.63,31.8,low,no,no,96.61,stop
2025-06-01 01:48:22,SENSOR_2,AGV_5,ROUTE_2,32.91,33.78,0,not detected,0,off,yes,no,98.69,26.17,33.03,medium,no,no,95.72,slow
2025-06-01 01:49:37,SENSOR_2,AGV_4,ROUTE_3,62.21,56.41,0,not detected,1,on,no,no,98.48,83.2,35.15,low,no,yes,77.44,slow
2025-06-01 01:50:53,SENSOR_1,AGV_3,ROUTE_2,79.87,38.62,1,detected,0,off,no,no,29.81,50.86,24.49,low,no,no,100,turn
2025-06-01 01:52:08,SENSOR_1,AGV_2,ROUTE_1,100.31,89.96,1,detected,1,on,no,no,22.61,43.28,26.16,low,no,no,80.1,turn
2025-06-01 01:53:24,SENSOR_1,AGV_1,ROUTE_3,39.14,39.04,0,not detected,0,off,yes,no,70.83,10.74,25.06,medium,no,no,82.01,slow
2025-06-01 01:54:40,SENSOR_2,AGV_1,ROUTE_1,141.2,85.83,0,not detected,1,on,no,no,12.77,5.11,27.42,low,yes,yes,73.31,slow
2025-06-01 01:55:55,SENSOR_3,AGV_3,ROUTE_3,121.98,34.2,0,not detected,0,off,no,no,12.96,3.06,32.02,low,no,yes,78.64,turn
2025-06-01 01:57:11,SENSOR_1,AGV_1,ROUTE_3,143.98,63.28,0,not detected,0,off,no,no,84.56,20.65,38.01,low,no,yes,90.26,stop
2025-06-01 01:58:26,SENSOR_3,AGV_4,ROUTE_3,130.51,75.13,0,not detected,1,on,no,no,92.53,93,22.56,low,no,yes,100,turn
2025-06-01 01:59:42,SENSOR_3,AGV_1,ROUTE_2,87.71,45.53,0,not detected,0,off,no,no,5.47,68.78,38.82,low,no,yes,99.86,turn
2025-06-01 02:00:58,SENSOR_2,AGV_4,ROUTE_3,153.19,77.29,1,detected,0,off,no,no,38.77,20.31,23.6,low,no,yes,80.3,turn
2025-06-01 02:02:13,SENSOR_2,AGV_4,ROUTE_1,112.16,66.65,0,not detected,0,off,no,no,54.56,61.13,31.26,low,yes,no,83.56,stop
2025-06-01 02:03:29,SENSOR_3,AGV_1,ROUTE_2,155.66,70.96,1,detected,1,on,no,no,8.92,9.07,27.86,low,no,yes,81.09,stop
2025-06-01 02:04:44,SENSOR_3,AGV_5,ROUTE_1,104.32,89.47,0,not detected,1,on,no,no,4.1,87.62,37.69,low,no,no,94.28,slow
2025-06-01 02:06:00,SENSOR_3,AGV_2,ROUTE_3,117.43,52.23,0,not detected,0,off,no,no,29.55,61.17,39.74,low,no,no,72.8,turn
2025-06-01 02:07:16,SENSOR_1,AGV_1,ROUTE_2,112.05,69.46,0,not detected,0,off,no,no,12.61,46.1,35.31,low,yes,no,97.95,turn
2025-06-01 02:08:31,SENSOR_1,AGV_2,ROUTE_1,139.8,85.4,0,not detected,1,on,no,no,63.36,42.93,34.55,low,no,no,88.23,slow
2025-06-01 02:09:47,SENSOR_2,AGV_5,ROUTE_1,61.20444131,31.16,1,detected,0,off,no,no,20.31,84.3,25.88,low,no,no,71.28,stop
2025-06-01 02:11:02,SENSOR_1,AGV_3,ROUTE_3,61.94,30.03,0,not detected,0,off,no,no,46.84,96.26,23.44,low,yes,no,83.55,stop
2025-06-01 02:12:18,SENSOR_3,AGV_3,ROUTE_2,113.18,28.61,0,not detected,0,off,no,no,36.64,1.52,35.59,low,no,yes,78.22,slow
2025-06-01 02:13:34,SENSOR_3,AGV_5,ROUTE_3,36.44,37.93,0,not detected,1,on,yes,no,60.69,74.51,33.77,medium,no,no,97.8,slow
2025-06-01 02:14:49,SENSOR_1,AGV_4,ROUTE_2,160.38,62.73,0,not detected,0,off,no,no,5.46,49.47,33.36,low,no,no,64.78,turn
2025-06-01 02:16:05,SENSOR_1,AGV_2,ROUTE_3,37.17,10.72,0,not detected,0,off,yes,no,14.42,82.42,33.16,medium,no,no,78.36,slow
2025-06-01 02:17:20,SENSOR_2,AGV_2,ROUTE_2,66.68,45.42,0,not detected,0,off,no,no,85.82,56.92,24.8,low,yes,no,93.62,turn
2025-06-01 02:18:36,SENSOR_2,AGV_4,ROUTE_2,149.93,62.25,0,not detected,1,on,no,no,94.6,16.45,31.07,low,no,no,81.02,turn
2025-06-01 02:19:52,SENSOR_2,AGV_4,ROUTE_1,28.89,17.73,1,detected,1,on,yes,yes,59.49,2.15,35.19,high,no,yes,69.9,stop
2025-06-01 02:21:07,SENSOR_1,AGV_5,ROUTE_1,119.01,80.87,0,not detected,0,off,no,no,28.42,48.47,32.82,low,no,no,93.73,turn
2025-06-01 02:22:23,SENSOR_1,AGV_2,ROUTE_1,55.76,48.36,0,not detected,0,off,no,no,56.48,93.67,36.33,low,no,no,90.95,turn
2025-06-01 02:23:38,SENSOR_3,AGV_1,ROUTE_2,36.32,27.21,0,not detected,0,off,yes,no,82.89,20.64,32.76,medium,no,yes,74.52,slow
2025-06-01 02:24:54,SENSOR_2,AGV_2,ROUTE_3,140.37,54.2,0,not detected,1,on,no,no,1.98,73.35,33.42,low,no,no,73.43,slow
2025-06-01 02:26:10,SENSOR_1,AGV_5,ROUTE_2,145.73,83.53,0,not detected,1,on,no,no,48.47,23.42,23.86,low,no,no,74.05,stop
2025-06-01 02:27:25,SENSOR_3,AGV_1,ROUTE_2,53.03,27.32,1,detected,0,off,no,no,18.51,28.66,34.47,low,no,no,74,turn
2025-06-01 02:28:41,SENSOR_1,AGV_4,ROUTE_3,103.76,77.3,0,not detected,1,on,no,no,75.61,33.42,33.69,low,no,no,85.36,turn
2025-06-01 02:29:56,SENSOR_1,AGV_1,ROUTE_3,143.98,63.28,0,not detected,0,off,no,no,84.56,20.65,38.01,low,no,yes,90.26,stop
2025-06-01 02:31:12,SENSOR_2,AGV_1,ROUTE_3,129.43,55.97,0,not detected,1,on,no,no,38.5,84.13,31.75,low,no,no,78.72,turn
2025-06-01 02:32:28,SENSOR_2,AGV_2,ROUTE_3,24.69837918,55.76,1,detected,0,off,yes,yes,20.94,69.18,28.54,high,no,no,71.83,stop
2025-06-01 02:33:43,SENSOR_1,AGV_1,ROUTE_3,143.98,63.28,0,not detected,0,off,no,no,84.56,20.65,38.01,low,no,yes,90.26,stop
2025-06-01 02:34:59,SENSOR_2,AGV_4,ROUTE_2,114.69,77.42,1,detected,0,off,no,no,6.57,95.7,24.37,low,yes,no,73.64,turn
2025-06-01 02:36:14,SENSOR_2,AGV_5,ROUTE_3,29.2209258,91.21,1,detected,0,off,yes,yes,88.44,27.87,28.42,high,no,no,87.59,stop
2025-06-01 02:37:30,SENSOR_1,AGV_2,ROUTE_1,85.72,76.18,1,detected,1,on,no,no,65.34,2.47,29.61,low,no,yes,98.86,turn
2025-06-01 02:38:46,SENSOR_1,AGV_2,ROUTE_3,80.17,69.29,1,detected,0,off,no,no,62.97,96.05,41.46,low,no,no,78.97,turn
2025-06-01 02:40:01,SENSOR_2,AGV_5,ROUTE_1,61.20444131,31.16,1,detected,0,off,no,no,20.31,84.3,25.88,low,no,no,71.28,stop
2025-06-01 02:41:17,SENSOR_2,AGV_1,ROUTE_1,143.15,71.24,0,not detected,1,on,no,no,46.99,8.43,29.48,low,no,no,93.27,slow
2025-06-01 02:42:32,SENSOR_1,AGV_1,ROUTE_3,82.96,77.04,0,not detected,0,off,no,no,66.67,39.95,27.81,low,no,no,83.67,slow
2025-06-01 02:43:48,SENSOR_3,AGV_5,ROUTE_2,,71.07,1,detected,0,off,no,no,44.75,83.57,27.87,low,no,no,75.13,slow
2025-06-01 02:45:04,SENSOR_1,AGV_1,ROUTE_1,108.7,59.5,0,not detected,1,on,no,no,63.5,9.18,30.14,low,no,no,95.34,turn
2025-06-01 02:46:19,SENSOR_3,AGV_1,ROUTE_2,39.8,34.51,1,detected,0,off,yes,no,80.16,47.1,20.24,medium,no,no,97.18,slow
2025-06-01 02:47:35,SENSOR_3,AGV_3,ROUTE_2,19.77893385,67.89,1,detected,0,off,yes,yes,60.56,60.56,27.15,high,no,no,80.69,stop
2025-06-01 02:48:50,SENSOR_3,AGV_3,ROUTE_3,37.92043932,44.68,1,detected,0,off,yes,no,36.74,14.85,28.83,medium,yes,no,91.1,slow
2025-06-01 02:50:06,SENSOR_1,AGV_2,ROUTE_2,136.8,46.95,0,not detected,1,on,no,no,49.55,34.22,31.96,low,yes,no,84.64,stop
2025-06-01 02:51:22,SENSOR_1,AGV_4,ROUTE_1,96.59,69.44,0,not detected,1,on,no,no,2.82,2.53,40.89,low,no,no,84.82,turn
2025-06-01 02:52:37,SENSOR_3,AGV_2,ROUTE_1,118.32,48.13,0,not detected,0,off,no,no,78.49,26.09,21.25,low,no,no,77.5,stop
2025-06-01 02:53:53,SENSOR_1,AGV_1,ROUTE_3,39.14,39.04,0,not detected,0,off,yes,no,70.83,10.74,25.06,medium,no,no,82.01,slow
2025-06-01 02:55:08,SENSOR_1,AGV_1,ROUTE_3,174.91,77.91,1,detected,0,off,no,no,43.8,79.65,14.33,low,no,yes,89.69,stop
2025-06-01 02:56:24,SENSOR_3,AGV_2,ROUTE_2,141.69,61.01,0,not detected,0,off,no,no,8.15,87.77,28.92,low,no,no,75.19,stop
2025-06-01 02:57:40,SENSOR_1,AGV_5,ROUTE_2,75.46,52.33,0,not detected,1,on,no,no,32.99,21.07,33.1,low,no,no,78.57,stop
2025-06-01 02:58:55,SENSOR_3,AGV_5,ROUTE_3,39.38,44.02,0,not detected,1,on,yes,no,53.43,63.32,33.43,medium,no,yes,79.47,slow
2025-06-01 03:00:11,SENSOR_3,AGV_3,ROUTE_3,95.03,62.69,1,detected,1,on,no,no,11.59,22.29,40.93,low,no,yes,78.12,stop
2025-06-01 03:01:26,SENSOR_1,AGV_3,ROUTE_2,56.15,49.91,0,not detected,0,off,no,no,0.29,50.01,27.94,low,no,no,75.62,turn
2025-06-01 03:02:42,SENSOR_3,AGV_4,ROUTE_1,62.37,43.95,0,not detected,0,off,no,no,69.36,9.13,28.05,low,no,no,81.12,turn
2025-06-01 03:03:58,SENSOR_1,AGV_2,ROUTE_1,141.6,41.27,0,not detected,0,off,no,no,1.78,95.05,34.89,low,no,no,76.47,turn
2025-06-01 03:05:13,SENSOR_1,AGV_3,ROUTE_1,108.93,45.02,0,not detected,1,on,no,no,49.41,2.05,28.46,low,no,no,76.99,turn
2025-06-01 03:06:29,SENSOR_3,AGV_5,ROUTE_3,97.07,46.93,0,not detected,1,on,no,no,21.1,13.96,22.97,low,no,no,76.67,stop
2025-06-01 03:07:44,SENSOR_3,AGV_4,ROUTE_1,33.27,26.62,0,not detected,1,on,yes,no,42.54,62.17,28.04,medium,yes,no,81.89,slow
2025-06-01 03:09:00,SENSOR_1,AGV_2,ROUTE_3,65.51,44.41,0,not detected,1,on,no,no,87.2,53.19,33.23,low,no,no,77.75,turn
2025-06-01 03:10:16,SENSOR_3,AGV_3,ROUTE_3,37.92043932,44.68,1,detected,0,off,yes,no,36.74,14.85,28.83,medium,yes,no,91.1,slow
2025-06-01 03:11:31,SENSOR_3,AGV_5,ROUTE_2,36.49685467,45.96,1,detected,0,off,yes,no,46.7,62.21,27.71,medium,no,no,92.89,slow
2025-06-01 03:12:47,SENSOR_2,AGV_3,ROUTE_3,76.92,48.02,0,not detected,0,off,no,no,97.28,47.77,32.14,low,no,no,77.13,slow
2025-06-01 03:14:02,SENSOR_2,AGV_5,ROUTE_2,27.82585131,66.5,1,detected,0,off,yes,no,45.58,71.96,31.05,high,no,no,100,slow
2025-06-01 03:15:18,SENSOR_3,AGV_1,ROUTE_2,,46.61,0,not detected,1,on,no,no,57.95,67.1,28.08,low,no,no,100,turn
2025-06-01 03:16:34,SENSOR_3,AGV_3,ROUTE_3,81.74,48.54,0,not detected,0,off,no,no,6.5,10,30.1,low,no,no,84.53,stop
2025-06-01 03:17:49,SENSOR_3,AGV_3,ROUTE_3,97.63,78.62,0,not detected,1,on,no,no,77.35,11.47,29.9,low,no,no,79.59,stop
2025-06-01 03:19:05,SENSOR_1,AGV_5,ROUTE_2,135.47,70.11,0,not detected,0,off,no,no,42.32,88.88,30.57,low,no,yes,98.89,turn
2025-06-01 03:20:20,SENSOR_2,AGV_3,ROUTE_2,125.4,68.8,1,detected,0,off,no,no,29.47,52.32,27.42,low,no,no,63.53,turn
2025-06-01 03:21:36,SENSOR_1,AGV_1,ROUTE_3,24.62074536,70.11,1,detected,0,off,yes,yes,28.72,0.34,34.61,high,no,yes,90.76,stop
2025-06-01 03:22:52,SENSOR_1,AGV_5,ROUTE_2,158.87,60.44,0,not detected,0,off,no,no,8.37,7.35,34.15,low,yes,no,86.6,stop
2025-06-01 03:24:07,SENSOR_3,AGV_5,ROUTE_3,152.37,80.38,1,detected,1,on,no,no,78.77,42.56,34.95,low,no,yes,88.03,turn
2025-06-01 03:25:23,SENSOR_3,AGV_4,ROUTE_1,137.04,71.63,0,not detected,1,on,no,no,20.35,28.8,28.26,low,no,no,83.74,turn
2025-06-01 03:26:38,SENSOR_1,AGV_4,ROUTE_1,34.21,36.35,0,not detected,0,off,yes,no,32.32,97.41,28.18,medium,yes,no,79.33,slow
